resource,x,y,z,useful,id,Edit,Delete,path
BUSH,9238.654,9153.393,557.747,True,006954aaad,Edit,Delete,raw-006954aaad.png
BUSH,9259.815,9155.178,552.899,True,14d68fb3f4,Edit,Delete,raw-14d68fb3f4.png
x,0,0,0,False,1d97c483ac,Edit,Delete,raw-1d97c483ac.png
BOULDER,8889.233,4299.845,134.917,False,32f540c545,Edit,Delete,raw-32f540c545.png
x,0,0,0,False,3b3de64e22,Edit,Delete,raw-3b3de64e22.png
CORRUPTED BLOODSP,9234.9395,2148.853,559.444,False,3c825cc7e3,Edit,Delete,raw-3c825cc7e3.png
BUSH,9252.571,9154.355,552.3995,True,496a2649fb,Edit,Delete,raw-496a2649fb.png
YOUNG TREE,8848.574,4235.595,135.392,False,68721080d1,Edit,Delete,raw-68721080d1.png
BOULDER,8888.387,4299.7904,135.353,False,6a65451f31,Edit,Delete,raw-6a65451f31.png
YOUNG TREE,8838.358,4293.9394,135.587,False,8cd74425ac,Edit,Delete,raw-8cd74425ac.png
YOUNG TREE,9237.733,2981.9839,515.3979,False,b622d94a7e,Edit,Delete,raw-b622d94a7e.png
BUSH,9243.950,9152.204,555.837,True,bbf23c4edc,Edit,Delete,raw-bbf23c4edc.png
RVANE i,8891.034,4298..334,135.020,False,c87a66c49d,Edit,Delete,raw-c87a66c49d.png
 CORRUPTED BLOODSP,9225.3539,9159.184,552.953,False,dab2269dcb,Edit,Delete,raw-dab2269dcb.png
